"MV, EW", 2018, 1/21/2018, ALLN, M, A, , N, PBA5, R, , , , , , , , , , , , , , , , , , , , , HAREM: 15, , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, M, SA3, , Y, PBA7, L, , , , , , , , , , , , , , , , , , , , , HAREM: 19; 7 not completed, , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, M, A, , Y, PBA8, , , , , , , , , , , , , , , , , , , , , , 8 looks like B, , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, , 7, , N, A25, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, , 14, , N, 58X, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, , 25, , N, X51, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLN, , 11, , Y, A30, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, M, A, , N, PBA4, R, , , , , , , , , , , , , , , , , , , , , BETA; chased by PBA9, , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, M, A, , Y, PBA9, L, , , , , , , , , , , , , , , , , , , , , high BETA, chased PBA4, , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, , 14, , N, 53X, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, M, SA4, , Y, PBA10, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, , 14, , Y, A31, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, EW", 2018, 1/21/2018, ALLS, M, SA4, , Y, PBA11, L,R, , , , , , , , , , , , , , , , , , , , , R didn't go on all the way, , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, F, A, 0, Y, VX744, R, , , , N, X744, R-ou-, , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 12, , Y, 17H, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 12, , Y, 18H, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , , , N, A21, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 16, , Y, 19H, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 15, , Y, 20H, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 20, , N, _0X, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, , 14, , Y, 21H, B, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , Y, PBA1_, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , Y, PBH3, R, , , , , , , , , , , , , , , , , , , , , 17-18 FEMALES, , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , N, PBA2, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , Y, PBA2, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , N, PBA_, , , , , , , , , , , , , , , , , , , , , , PBA_(5, 3, OR 8), , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , Y, PBA12, L, , , , , , , , , , , , , , , , , , , , , ALPHA, , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, SA4, , Y, PBA13, L, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , N, PBA4, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, A, , Y, PBA14, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
"MV, CC", 2018, 1/22/2018, ALLN, M, SA4, , Y, PBA15, R, , , , , , , , , , , , , , , , , , , , , , , Location unkown
