Field Leader Initials,Year,Date,Loc.,Sex,Age,Pup?,New Mark 1?,Mark 1,Mark 1 Position ,New Mark 2?,Mark 2,Mark 2 Position,New Tag1?,Tag1 #,Tag 1 Pos. ,New Tag2?,Tag2 #,Tag 2 Pos. ,Molt (%),Season,St. Length,Crv. Length,Ax. Girth,Mass,Tare,Mass-Tare,Last seen as P,1st seen as W,Range (days),Comments,Entered in Ano 
CC,2019,1/27/2019,ALLn,M,A,,N,PBH10,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ALLn,M,A,,Y,PBM22,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ALLn,M,A,,Y,PBM23,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ALLn,M,A,,Y,PBM24,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ALLn,,20,,Y,M29,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ALLn,M,A,,Y,PBM25,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/27/2019,ACU,F,A,1,Y,WH 39,L,,,,N,WH 39,L3-So,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,W,,N,X9,R,,,,,,,,,,,,,,,,,,1/21/2019,1/28/2019,7,,
CC,2019,1/28/2019,LTC,,30,,N,H9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,M,A,,N,PBH10,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,30,,N,X15,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,25,,N,H7,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,30,,N,M13,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,20,,Y,X24,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,F,30,,Y,X25,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,W,,N,X23,,,,,,,,,,,,,,,,,,,1/25/2019,1/28/2019,3,,
CC,2019,1/28/2019,LTL,,W,,N,X8,,,,,,,,,,,,,,,,,,,1/21/2019,1/28/2019,7,,
CC,2019,1/28/2019,LTL,M,A,,N,PBX80,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,,,N,M9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,25,,N,X22,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,F,A,1,Y,PU514,L,,,,N,PU514,L4-So,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,30,,Y,X26,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,28,,Y,X27,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,F,A,,N,WP556,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTL,,25,,N,H6,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,25,,N,M8,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,M,A,,N,PBH33,L,,,,,,,,,,,,,,,,,,,,,Has two marks One PBH33 L and then on the Right: PBH33 and PB_42 backwards 2 and 4 ,
CC,2019,1/28/2019,LTC,M,A,,Y,PBX11,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,,,N,M17,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,1/28/2019,LTC,,30,,Y,X28,R,,,,,,,,,,,,,,,,,,,,,,
MV,2019,1/28/2019,LTC,,18,,N,M7,L,,,,,,,,,,,,,,,,,,,,,,
MV,2019,1/28/2019,LTC,,28,,N,X6,L,,,,,,,,,,,,,,,,,,,,,6 could be a 5,
MV,2019,1/28/2019,LTC,M,A,,N,PBX84,,,,,,,,,,,,,,,,,,,,,,,
MV,2019,1/28/2019,LTU,,21,,N,H6,R,,,,,,,,,,,,,,,,,,,,,,
MV,2019,1/28/2019,LTC,,28,,N,M18,L,,,,,,,,,,,,,,,,,,,,,,
MV,2019,1/28/2019,LTC,,21,,N,H7,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,M,SA4,,N,PBH63,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,,W,,N,M18,,,,,,,,,,,,,,,,,,,1/28/2019,1/31/2019,,,
EW,2019,1/31/2019,ACU,M,A,,N,PBM3,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,,28,,Y,H10,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,,27,,Y,H11,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,M,A,,N,PBX1,,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ACU,,25,,Y,H12,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,20,,Y,H13,B,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,M,A,,N,PBH12,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,22,,Y,H14,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,23,,Y,H15,B,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,30,,Y,H16,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,28,,Y,H17,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,,27,,Y,H18,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,,30,,Y,H19,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,,W,,N,M22,L,,,,,,,,,,,,,,,,,,1/27/19,1/31/19,,,
EW,2019,1/31/2019,ALLs,,30,,Y,H20,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,M,A,,N,PBM23,L,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,M,A,,N,PBA41,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLs,M,SA4,,N,PBX12,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,M,SA4,,Y,PBH10,R,,,,,,,,,,,,,,,,,,,,,,
EW,2019,1/31/2019,ALLn,,30,,Y,H21,R,,,,,,,,,,,,,,,,,,,,,upside down,
EW,2019,1/31/2019,ALLn,,27,,Y,22,R,,,,,,,,,,,,,,,,,,,,,H didnt go on,
CC,2019,2/1/2019,LTL,,W,,N,X9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,,W,,N,H7,R,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
CC,2019,2/1/2019,LTL,,W,,N,H6,R,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
CC,2019,2/1/2019,LTL,,W,,N,X3,L,,,,,,,,,,,,,,,,,,1/21/19,02/01/19,,Upside down,
CC,2019,2/1/2019,LTL,M,W,,N,M8,R,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
CC,2019,2/1/2019,LTL,,W,,N,X6,L,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
CC,2019,2/1/2019,LTL,,30,,N,X2_,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,,25,,Y,X29,R,,,,,,,,,,,,,,,,,,,,,Upside down,
CC,2019,2/1/2019,LTL,M,SA4,,Y,PBX13,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,M,W,,N,X21,L,N,X9,R,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,,20,,Y,X30,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,,30,,N,H5,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/1/2019,LTL,,W,,N,H9,R,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
"GS, AG",2019,2/1/2019,LTC,,W,,N,X21,L,,,,,,,,,,,,,,,,,,1/25/2019,02/01/2019,,,
"GS, AG",2019,2/1/2019,LTU,M,SA3,,N,PBA_0,R,,,,,,,,,,,,,,,,,,,,,Probably PBA10,
"GS, AG",2019,2/1/2019,LTC,F,A,,N,WP556,L,,,,N,W,L4-__,,,,,,,,,,,,,,,,
"GS, AG",2019,2/1/2019,LTC,,W,,N,H9,R,,,,,,,,,,,,,,,,,,1/28/2019,02/01/2019,,,
CC,2019,2/2/2019,LTU,M,W,,N,H7,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTU,,31,,N,M8,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTU,,30,,Y,X31,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTU,M,A,,Y,PBX14,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTU,M,A,,Y,PBH33,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTU,,20,,Y,X32,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,30,,Y,X33,L,,,,,,,,,,,,,,,,,,,,,X on flipper,
CC,2019,2/2/2019,LTC,,W,,N,X2,,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,W,,N,X9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,20,,N,X30,R,,,,,,,,,,,,,,,,,,,,,Upside Down,
CC,2019,2/2/2019,LTC,,30,,Y,X34,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,30,,N,X27,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,M,A,,Y,PBX15,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,30,,Y,X35,L,,,,,,,,,,,,,,,,,,,,,,
